Date, Time, Open, High, Low, Close, Volume
2021-01-04,04:00:00,133.31,134.01,133.02,133.6,87961
2021-01-04,05:00:00,133.6,134.43,133.43,134.3,147928
2021-01-04,06:00:00,134.22,134.35,133.6,133.99,32943
2021-01-04,07:00:00,133.92,134.0,133.54,133.95,424254
2021-01-04,08:00:00,133.93,134.1,133.53,133.83,509531
2021-01-04,09:00:00,133.83,133.87,131.294,131.449,13788693
2021-01-04,10:00:00,131.45,131.67,130.38,130.968,16660868
2021-01-04,11:00:00,130.97,131.31,128.79,128.82,16900029
2021-01-04,12:00:00,128.81,128.919,126.76,128.42,17646282
2021-01-04,13:00:00,128.41,129.2,128.05,129.178,10422877
2021-01-04,14:00:00,129.17,129.579,128.62,129.492,11092077
2021-01-04,15:00:00,129.48,129.74,128.76,129.41,16435041
2021-01-04,16:00:00,129.41,129.69,129.16,129.37,17713668
2021-01-04,17:00:00,129.39,129.7,129.26,129.33,134279
2021-01-04,18:00:00,129.37,129.38,129.15,129.24,122715
2021-01-04,19:00:00,129.25,129.41,129.11,129.39,86404
2021-01-05,04:00:00,130.07,130.2,129.68,130.02,45710
2021-01-05,05:00:00,130.18,130.26,129.97,130.2,29163
2021-01-05,06:00:00,130.2,130.3,129.5,129.56,55396
2021-01-05,07:00:00,129.69,129.8,128.85,129.45,388250
2021-01-05,08:00:00,129.53,129.83,128.35,128.4,665408
2021-01-05,09:00:00,128.4,131.48,128.31,131.31,13903790
2021-01-05,10:00:00,131.32,131.74,130.431,130.52,14480604
2021-01-05,11:00:00,130.535,130.69,129.93,130.29,10408356
2021-01-05,12:00:00,130.29,130.34,129.84,130.145,7643264
2021-01-05,13:00:00,130.15,130.63,129.94,130.625,5809738
2021-01-05,14:00:00,130.63,131.405,130.595,130.95,8810381
2021-01-05,15:00:00,130.96,131.45,130.76,130.95,11537779
2021-01-05,16:00:00,131.01,131.32,130.81,130.93,10316022
2021-01-05,17:00:00,130.93,130.93,130.85,130.9,72236
2021-01-05,18:00:00,130.9,131.0,130.7,130.75,116428
2021-01-05,19:00:00,130.75,131.4,130.6,130.65,230640
2021-01-06,04:00:00,128.5,129.03,128.0,128.56,108575
2021-01-06,05:00:00,128.43,128.93,127.8,128.08,145877
2021-01-06,06:00:00,128.08,128.55,127.52,128.48,100235
2021-01-06,07:00:00,128.55,129.2,128.2,128.36,738427
2021-01-06,08:00:00,128.36,129.16,128.01,128.15,1013563
2021-01-06,09:00:00,128.149,128.78,126.55,128.06,21999519
2021-01-06,10:00:00,128.07,129.74,127.59,129.387,19119823
2021-01-06,11:00:00,129.39,131.05,129.1,130.12,16862298
2021-01-06,12:00:00,130.13,130.705,129.88,130.01,9119465
2021-01-06,13:00:00,130.02,130.26,128.94,129.25,11522942
2021-01-06,14:00:00,129.255,129.45,127.1,127.94,18981336
2021-01-06,15:00:00,127.93,128.22,126.382,126.58,26214319
2021-01-06,16:00:00,126.68,127.24,126.31,127.08,10677595
2021-01-06,17:00:00,127.1,127.46,127.0,127.26,320158
2021-01-06,18:00:00,127.251,127.47,127.05,127.35,200523
2021-01-06,19:00:00,127.28,127.8,127.28,127.62,266325
2021-01-07,04:00:00,128.0,128.64,127.51,127.68,76311
2021-01-07,05:00:00,127.58,128.29,127.55,127.75,53611
2021-01-07,06:00:00,127.54,127.99,127.42,127.78,23564
2021-01-07,07:00:00,127.69,128.31,127.69,128.28,382285
2021-01-07,08:00:00,128.11,128.64,127.87,128.23,815673
2021-01-07,09:00:00,128.24,129.14,127.86,129.01,16545680
2021-01-07,10:00:00,129.03,130.56,128.88,130.541,18026893
2021-01-07,11:00:00,130.545,131.03,130.14,130.32,12892372
2021-01-07,12:00:00,130.33,130.65,129.85,130.465,7812590
2021-01-07,13:00:00,130.465,130.56,130.02,130.31,6433115
2021-01-07,14:00:00,130.305,130.78,130.28,130.775,6685850
2021-01-07,15:00:00,130.772,131.63,130.46,130.85,16539785
2021-01-07,16:00:00,130.92,131.0,130.61,130.63,11278705
2021-01-07,17:00:00,130.66,130.75,130.42,130.72,131132
2021-01-07,18:00:00,130.72,131.16,130.5,131.03,176597
2021-01-07,19:00:00,131.04,131.95,130.96,131.68,399777
2021-01-08,04:00:00,131.72,132.14,131.13,131.97,29065
2021-01-08,05:00:00,131.98,132.16,131.96,132.16,57122
2021-01-08,06:00:00,132.13,132.16,131.83,132.02,38155
2021-01-08,07:00:00,132.03,132.849,132.0,132.24,524810
2021-01-08,08:00:00,132.15,132.85,132.01,132.04,813930
2021-01-08,09:00:00,132.04,132.64,130.35,131.549,16072341
2021-01-08,10:00:00,131.545,131.98,130.26,131.02,14365512
2021-01-08,11:00:00,131.02,132.25,130.62,132.24,11792057
2021-01-08,12:00:00,132.241,132.57,131.52,131.67,10306135
2021-01-08,13:00:00,131.67,131.795,130.23,131.01,10418411
2021-01-08,14:00:00,131.005,131.555,130.97,131.44,7142365
2021-01-08,15:00:00,131.44,132.21,131.39,131.99,11943024
2021-01-08,16:00:00,132.05,132.2,131.757,132.15,8465493
2021-01-08,17:00:00,132.13,132.13,131.95,131.95,99952
2021-01-08,18:00:00,131.99,132.0,131.9,131.9,65723
2021-01-08,19:00:00,131.93,131.93,131.72,131.75,120698
2021-01-11,04:00:00,131.75,131.75,131.0,131.28,59388
2021-01-11,05:00:00,131.21,131.48,131.17,131.4,18866
2021-01-11,06:00:00,131.47,131.73,131.28,131.52,28186
2021-01-11,07:00:00,131.6,131.67,130.24,130.64,451142
2021-01-11,08:00:00,131.14,131.43,130.02,130.18,836428
2021-01-11,09:00:00,130.21,130.21,128.5,129.425,16444797
2021-01-11,10:00:00,129.41,130.17,129.32,129.57,14046579
2021-01-11,11:00:00,129.56,129.69,129.03,129.51,8258339
2021-01-11,12:00:00,129.51,130.06,129.35,129.55,7183087
2021-01-11,13:00:00,129.545,129.93,129.22,129.345,7512409
2021-01-11,14:00:00,129.348,129.348,128.87,129.31,7960376
2021-01-11,15:00:00,129.31,129.44,128.69,128.98,12543838
2021-01-11,16:00:00,128.98,129.15,128.95,128.95,11983622
2021-01-11,17:00:00,128.96,129.05,128.91,129.05,105738
2021-01-11,18:00:00,129.02,129.17,128.97,129.12,96003
2021-01-11,19:00:00,129.14,129.24,129.04,129.15,128586
2021-01-12,04:00:00,129.1,129.63,129.0,129.62,24069
2021-01-12,05:00:00,129.62,129.9,129.13,129.41,15099
2021-01-12,06:00:00,129.49,129.87,129.3,129.5,34582
2021-01-12,07:00:00,129.49,129.97,129.4,129.65,270537
2021-01-12,08:00:00,129.428,129.95,128.61,128.88,674400
2021-01-12,09:00:00,128.86,129.69,128.08,128.36,12389090
2021-01-12,10:00:00,128.36,129.33,128.18,128.91,11828164
2021-01-12,11:00:00,128.91,129.18,128.15,128.355,9452530
2021-01-12,12:00:00,128.358,128.39,126.86,127.945,13617792
2021-01-12,13:00:00,127.95,128.44,127.71,128.195,7042840
2021-01-12,14:00:00,128.195,128.79,128.08,128.4,7797931
2021-01-12,15:00:00,128.4,129.19,128.2,128.82,10920526
2021-01-12,16:00:00,128.8,129.0,127.895,128.95,5239800
2021-01-12,17:00:00,128.94,128.99,128.8,128.9,800183
2021-01-12,18:00:00,128.9,129.0,128.8,129.0,82284
2021-01-12,19:00:00,128.99,129.23,128.95,129.22,120308
2021-01-13,04:00:00,129.3,130.0,129.3,129.82,18994
2021-01-13,05:00:00,129.78,130.0,129.45,129.7,45379
2021-01-13,06:00:00,129.79,129.92,129.23,129.67,31234
2021-01-13,07:00:00,129.73,129.8,128.66,128.9,394893
2021-01-13,08:00:00,129.39,129.7,128.29,129.17,511138
2021-01-13,09:00:00,129.16,130.2,128.49,129.83,12279851
2021-01-13,10:00:00,129.83,131.26,129.32,131.03,15765546
2021-01-13,11:00:00,131.031,131.45,130.721,131.15,11797667
2021-01-13,12:00:00,131.16,131.19,130.41,131.13,9407663
2021-01-13,13:00:00,131.12,131.29,130.77,130.855,5230775
2021-01-13,14:00:00,130.855,131.2,130.731,131.0,5946459
2021-01-13,15:00:00,131.01,131.13,130.6,130.89,9196508
2021-01-13,16:00:00,131.18,131.18,130.75,130.83,8648903
2021-01-13,17:00:00,130.79,130.93,130.76,130.93,48851
2021-01-13,18:00:00,130.93,131.11,130.81,131.03,84919
2021-01-13,19:00:00,130.95,131.28,130.95,131.28,113930
2021-01-14,04:00:00,131.2,131.2,130.25,130.3,20194
2021-01-14,05:00:00,130.27,130.4,130.0,130.3,15451
2021-01-14,06:00:00,130.39,130.65,130.08,130.6,18862
2021-01-14,07:00:00,130.64,130.96,130.56,130.85,229127
2021-01-14,08:00:00,130.75,131.16,130.6,130.97,304577
2021-01-14,09:00:00,130.98,131.07,129.664,130.01,11849209
2021-01-14,10:00:00,130.0,130.87,129.6,130.623,13746071
2021-01-14,11:00:00,130.63,130.7,129.86,130.0,7878526
2021-01-14,12:00:00,129.995,130.2,129.54,130.13,7125644
2021-01-14,13:00:00,130.132,130.133,129.5,129.53,5754086
2021-01-14,14:00:00,129.52,129.74,129.29,129.625,6971506
2021-01-14,15:00:00,129.623,129.73,128.76,128.92,14200533
2021-01-14,16:00:00,128.91,129.18,128.91,128.98,9138860
2021-01-14,17:00:00,128.98,129.35,128.96,129.34,118568
2021-01-14,18:00:00,129.3,129.34,129.25,129.29,73214
2021-01-14,19:00:00,129.27,129.35,129.0,129.2,126413